Much like life, The Florida Project is dark yet fun, joyous yet devastating, but, above all, one of the year's absolute finest films.|Fresh
... mirrors the immaturity, irresponsibility, and rudeness of a lost person, whose terrible example for her child, both behavioral and language-wise, is sad and vexatious.|Fresh
A sumptuously shot, 35-mm experience that feels utterly lived-in and real, but never loses its cinematic verve; it's a film that will stay with you.|Fresh
A modest miracle of a film, in which director Baker gracefully juggles the story's disparate temperaments.|Fresh
The improvisation, accompanied by the boisterous and happy attitudes of the children, endows the film with a touching tone that loads of meaning the gravity of the reflections that sustain it. [Full Review in Spanish]|Fresh
Like American Honey, what The Florida Project manages to do so well is capture the small joys that come with life on the poverty line.|Fresh
Throughout this two hour visual verite feast, you'll be hit with moments of joy and sadness, inspiration and despondency, and a cinematic romanticism so riveting that you just can't tear yourself away.|Fresh
One of the best films of 2017 gets a dreadfully average Blu-ray release.|Fresh
The Florida Project knocks down invisible dividing walls and tries to build empathetic connections between disparate human worlds in a way only cinema can.|Fresh
The Florida Project is both bleak and inspiring as it does its best to reveal the reality inherent in living in dire poverty. It plunges the viewer into its world and never lets up on showing the highs and the lows with brutal clarity.|Fresh
Much like life, The Florida Project is dark yet fun, joyous yet devastating, but, above all, one of the year's absolute finest films.|Fresh
... mirrors the immaturity, irresponsibility, and rudeness of a lost person, whose terrible example for her child, both behavioral and language-wise, is sad and vexatious.|Fresh
A sumptuously shot, 35-mm experience that feels utterly lived-in and real, but never loses its cinematic verve; it's a film that will stay with you.|Fresh
A modest miracle of a film, in which director Baker gracefully juggles the story's disparate temperaments.|Fresh
The improvisation, accompanied by the boisterous and happy attitudes of the children, endows the film with a touching tone that loads of meaning the gravity of the reflections that sustain it. [Full Review in Spanish]|Fresh
Like American Honey, what The Florida Project manages to do so well is capture the small joys that come with life on the poverty line.|Fresh
Throughout this two hour visual verite feast, you'll be hit with moments of joy and sadness, inspiration and despondency, and a cinematic romanticism so riveting that you just can't tear yourself away.|Fresh
One of the best films of 2017 gets a dreadfully average Blu-ray release.|Fresh
The Florida Project knocks down invisible dividing walls and tries to build empathetic connections between disparate human worlds in a way only cinema can.|Fresh
The Florida Project is both bleak and inspiring as it does its best to reveal the reality inherent in living in dire poverty. It plunges the viewer into its world and never lets up on showing the highs and the lows with brutal clarity.|Fresh
A powerful punch of empathic, humanist, character-driven cinema.|Fresh
If Tangerine was Baker's breakthrough film, then this just cements his status as one of the best young filmmakers in Hollywood today.|Fresh
The film never exploits its characters' lives, but simply understands them and, in turn, portrays them both sensitively and candidly.|Fresh
[These children] don't quite comprehend their parents' struggle or the life of excess and entertainment down the road. They simply find the joy and fun in what they have.|Fresh
What bothered me about this (and I ended up loving it) is that the kids are terrible.|Fresh
There's fascinating stories here and it is, at a meta level, almost heartbreaking, almost infuriating that we know that this is a slice of our population that lives this way and doesn't seem to have any other options.|Fresh
An exercise in empathy and exuberance.|Fresh
A powerfully moving dramady by Sean Baker who came a long way from filming a movie off an iPhone.|Fresh
I believe The Florida Project is a film with good intentions even though I remain unsure what they are.|Fresh
Moonee is somehow relentlessly entertaining without ever, even in the slightest bit, coming across like a child mascot dreamed up solely for our amusement.|Fresh
Newcomer Brooklynn Prince is pure magic; a firecracker of intensity and confidence, this girl is a star.|Fresh
A work that combines boundless energy and childlike enthusiasm with dark social realism, Sean Baker's wildly inventive style of filmmaking has resulted in the gorgeous masterpiece that is The Florida Project.|Fresh
With deep love and affection for their characters, Baker and co-writer Chris Bergoch create a vibrant community pushed to the fringes by economics but still bursting at the seams with creative possibility.|Fresh
The Florida Project could easily be a Best Picture nominee this season. Baker's direction is so fluid, and the whole movie is so organic, you feel that you've lived it through it with all the characters.|Fresh
The Happiest Place on Earth can be wherever you want it to be. And I know now that should never be taken for granted.|Fresh
A brilliantly dark social conscience heartbreaking comedy gem about dealing with the corruption of innocent children.|Fresh
Surely [Brooklyn Pierce] will be one of Hollywood's great performers. [Full Review in Spanish]|Fresh
We don't often see these people in movies, especially in American movies. We see them in the background, hustling, hawking, stealing, serving, providing - as we do in real life.|Fresh
Cinema in its purest form. [Full Review in Spanish]|Fresh
It is the remarkable performance from the little Prince that propels the film forward.|Fresh
Baker follows these characters through a series of neo-realist episodes, in their absolute precariousness and in their most contagious freedom. (Complete review in newspaper Reforma, in Spanish)|Fresh
Sean Baker's portrait of working-class Americana is powerfully narrated and beautifully performed.|Fresh
