"In the hands of director Barry Jenkins and playwright Tarell Alvin McCraney, who wrote the theater piece ""Moonlight"" is based on, it's cinematic poetry birthed from the sea, where learning to swim is akin to a baptism."|Fresh
The actors and this story are at the heart of the film.|Fresh
In times of Ferguson, in the times that Eric Garner lived, it is radical to see Moonlight's Chiron still have enough love to give to Kevin.|Fresh
...holistically beautiful. Its cinematography, its performances, its narrative, its ideas, its moments-there is an aura of empathy and glory surrounding all of it.|Fresh
[Barry] Jenkin's exceptional coming-of-age drama stays firmly planted in your mind by challenging the stilted ways of the past, causing you to look inward and reflect. It's a moving, unshakable piece of cinema that is not to be missed.|Fresh
All the performances throughout are true and quietly heart-rending.|Fresh
...a power-driven drama. Jenkins still fuels his small, yet piercing exposition, with a cemented conviction that fortifies the serene rage and manages to instill a convincing dose of sympathy for the periled players in Miami's hidden haven of a hellhole.|Fresh
Moonlight could never fully live up to the widespread acclaim and hype - but the fact it manages to get close to cinematic perfection is a true testament to how strong the film is.|Fresh
The film finds a watchful, plaintive ambience for documenting the legacy of machismo and problematic identity politics at the heart of young black male culture.|Fresh
It's hard to forget Chiron once you've seen Moonlight.|Fresh
"In the hands of director Barry Jenkins and playwright Tarell Alvin McCraney, who wrote the theater piece ""Moonlight"" is based on, it's cinematic poetry birthed from the sea, where learning to swim is akin to a baptism."|Fresh
The actors and this story are at the heart of the film.|Fresh
In times of Ferguson, in the times that Eric Garner lived, it is radical to see Moonlight's Chiron still have enough love to give to Kevin.|Fresh
...holistically beautiful. Its cinematography, its performances, its narrative, its ideas, its moments-there is an aura of empathy and glory surrounding all of it.|Fresh
[Barry] Jenkin's exceptional coming-of-age drama stays firmly planted in your mind by challenging the stilted ways of the past, causing you to look inward and reflect. It's a moving, unshakable piece of cinema that is not to be missed.|Fresh
All the performances throughout are true and quietly heart-rending.|Fresh
...a power-driven drama. Jenkins still fuels his small, yet piercing exposition, with a cemented conviction that fortifies the serene rage and manages to instill a convincing dose of sympathy for the periled players in Miami's hidden haven of a hellhole.|Fresh
Moonlight could never fully live up to the widespread acclaim and hype - but the fact it manages to get close to cinematic perfection is a true testament to how strong the film is.|Fresh
The film finds a watchful, plaintive ambience for documenting the legacy of machismo and problematic identity politics at the heart of young black male culture.|Fresh
It's hard to forget Chiron once you've seen Moonlight.|Fresh
Moonlight is a film rammed with fantastic performances. Filled with rich characterisation and powerful moments. it charts three different periods in the life of Chiron, a young, gay black man from inner-city Miami.|Fresh
Barry Jenkins' film is a lovely character study that retains its beauty even while examining ugly topics and their ugly effect on society.|Fresh
It is an earnest, sensitive rendering of the gulf between being black and being queer, remarkable as a testament to the fact that stories like this are rarely -- if ever -- made.|Fresh
A relevantly mesmerizing film that daringly tackles a hard concept and accomplishes to make it relatable for everyone.|Fresh
Moonlight is an important and vital piece of black cinema, especially now. It's only through visibility that compassion can be nurtured and fostered, transforming solitude and confusion into hope and understanding.|Fresh
It's is a haunting, touching film that somehow, like its name, feels both hyper realistic and dreamlike.|Fresh
"I can tell you ""Moonlight"" is one of the most intimate and beautiful films I have ever seen, and the subject matter might seem so charged that those of us who have not experienced the issues in the film don't even know how to talk about it."|Fresh
